retrospectiveLow,retrospectiveHigh,prospectiveLow,prospectiveHigh
829.576088214371,886.748607795952,830.714808307287,706.627859843282
715.118006239864,961.146194436293,825.684911785053,718.919115717701
692.789892463047,985.866147407533,839.216497947522,715.037123455161
712.381150633146,900.194311457065,835.257850948951,715.192262308639
714.595508547584,834.233646053887,820.09815668326,786.807483130796
718.595876299397,1005.09982429099,822.32685794521,714.094682496647
737.695624757808,872.680247194909,736.460714114498,705.615212851871
728.94010239389,952.073197528547,836.676429277842,722.137296914554
854.357149531418,918.861969475234,807.901270943022,709.639513450865
802.690445394439,916.627253297638,828.770473542127,716.211471319131
888.957361997453,913.868171575836,830.709793415066,707.43245386752
736.386253548111,842.106194112303,833.157796439144,776.303197697174
792.148827197164,824.29214626305,791.492835561753,788.31514175985
841.682556644199,885.534052819995,805.975321963668,716.82388903289
722.225164868003,967.864483232588,757.060671961781,706.897121734227
728.006609245865,940.943785235831,768.276208670831,728.224919828759
803.010960643398,939.24287996043,821.856995696465,718.460073724189
761.563947463289,896.872419996747,808.183140815665,802.972098439175
877.445874702251,956.269435370115,750.132650390068,718.657513723227
800.600117195964,791.725941404026,810.422712456288,702.709650151059
